eta,ci,randomization,d1,d2,source
0.05,0.0,,,,
0.1,0.04265272267689424,12,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.1_ns=3_np=3_N=2000_randomization=12_ci_list.npy
0.15,0.2563431214653078,16,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.15_ns=3_np=3_N=2000_randomization=16_ci_list.npy
0.2,0.48158835427349667,0,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.2_ns=3_np=3_N=2000_randomization=0_ci_list.npy
0.25,0.5333329374834923,14,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.25_ns=3_np=3_N=2000_randomization=14_ci_list.npy
0.3,0.7816599743335924,17,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.3_ns=3_np=3_N=2000_randomization=17_ci_list.npy
0.31,0.8083072590735476,10,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.31_ns=3_np=3_N=2000_randomization=10_ci_list.npy
0.32,0.8601713354334195,7,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.32_ns=3_np=3_N=2000_randomization=7_ci_list.npy
0.33,0.8095597350995254,12,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.33_ns=3_np=3_N=2000_randomization=12_ci_list.npy
0.34,0.8880135987822619,12,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.34_ns=3_np=3_N=2000_randomization=12_ci_list.npy
0.35,0.7821785188077683,8,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.35_ns=3_np=3_N=2000_randomization=8_ci_list.npy
0.36,0.7637018166767671,2,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.36_ns=3_np=3_N=2000_randomization=2_ci_list.npy
0.37,0.7794179052002064,6,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.37_ns=3_np=3_N=2000_randomization=6_ci_list.npy
0.38,0.7886196457837022,14,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.38_ns=3_np=3_N=2000_randomization=14_ci_list.npy
0.39,0.6356042275008362,2,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.39_ns=3_np=3_N=2000_randomization=2_ci_list.npy
0.4,0.7028493509281724,7,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.4_ns=3_np=3_N=2000_randomization=7_ci_list.npy
0.45,0.37216663200957,9,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.45_ns=3_np=3_N=2000_randomization=9_ci_list.npy
0.5,0.006933224017592554,9,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.5_ns=3_np=3_N=2000_randomization=9_ci_list.npy
0.55,0.31848445320493424,3,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.55_ns=3_np=3_N=2000_randomization=3_ci_list.npy
0.6,0.4624058294560407,5,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.6_ns=3_np=3_N=2000_randomization=5_ci_list.npy
0.65,0.5044154825109142,0,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.65_ns=3_np=3_N=2000_randomization=0_ci_list.npy
0.7,0.572517868563335,11,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.7_ns=3_np=3_N=2000_randomization=11_ci_list.npy
0.75,0.6506204687376971,10,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.75_ns=3_np=3_N=2000_randomization=10_ci_list.npy
0.8,0.5902426480014804,1,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.8_ns=3_np=3_N=2000_randomization=1_ci_list.npy
0.85,0.8345227441782879,16,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.85_ns=3_np=3_N=2000_randomization=16_ci_list.npy
0.9,0.6669594180490215,2,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.9_ns=3_np=3_N=2000_randomization=2_ci_list.npy
0.95,0.9085837547273694,4,2,1,Transduction_CoherentInfo_GKP_Nt=30_d1=2_d2=1_j2=0_eta=0.95_ns=3_np=3_N=2000_randomization=4_ci_list.npy
