eta_folder	source_eta_folder	best_seed	best_feasible_ci	valid_seed_count	tie_count	score_source	parameter_source
eta=0.05	eta=0.05_depth=20_Nt=30	seed_41	-9.698770742083695e-07	199	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.05_depth=20_Nt=30/seed_41/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.05_depth=20_Nt=30/seed_41/parameters_best_feasible.npy
eta=0.10	eta=0.10_depth=20_Nt=30	seed_54	0.014164029450248083	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.10_depth=20_Nt=30/seed_54/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.10_depth=20_Nt=30/seed_54/parameters_best_feasible.npy
eta=0.15	eta=0.15_depth=20_Nt=30	seed_105	0.19960391561833513	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.15_depth=20_Nt=30/seed_105/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.15_depth=20_Nt=30/seed_105/parameters_best_feasible.npy
eta=0.20	eta=0.20_depth=20_Nt=30	seed_77	0.4910905824874696	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.20_depth=20_Nt=30/seed_77/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.20_depth=20_Nt=30/seed_77/parameters_best_feasible.npy
eta=0.25	eta=0.25_depth=20_Nt=30	seed_32	0.7267898866067366	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.25_depth=20_Nt=30/seed_32/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.25_depth=20_Nt=30/seed_32/parameters_best_feasible.npy
eta=0.30	eta=0.30_depth=20_Nt=30	seed_183	0.7527141616267858	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.30_depth=20_Nt=30/seed_183/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.30_depth=20_Nt=30/seed_183/parameters_best_feasible.npy
eta=0.35	eta=0.35_depth=20_Nt=30	seed_87	0.7968463567969051	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.35_depth=20_Nt=30/seed_87/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.35_depth=20_Nt=30/seed_87/parameters_best_feasible.npy
eta=0.40	eta=0.40_depth=20_Nt=30	seed_157	0.6280488128027852	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.40_depth=20_Nt=30/seed_157/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.40_depth=20_Nt=30/seed_157/parameters_best_feasible.npy
eta=0.45	eta=0.45_depth=20_Nt=30	seed_3	0.3752888141504944	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.45_depth=20_Nt=30/seed_3/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.45_depth=20_Nt=30/seed_3/parameters_best_feasible.npy
eta=0.50	eta=0.50_depth=20_Nt=30	seed_96	0.33516111786127967	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.50_depth=20_Nt=30/seed_96/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.50_depth=20_Nt=30/seed_96/parameters_best_feasible.npy
eta=0.55	eta=0.55_depth=20_Nt=30	seed_82	0.37652923313437725	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.55_depth=20_Nt=30/seed_82/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.55_depth=20_Nt=30/seed_82/parameters_best_feasible.npy
eta=0.60	eta=0.60_depth=20_Nt=30	seed_6	0.5901255775451517	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.60_depth=20_Nt=30/seed_6/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.60_depth=20_Nt=30/seed_6/parameters_best_feasible.npy
eta=0.65	eta=0.65_depth=20_Nt=30	seed_157	0.6131354736037118	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.65_depth=20_Nt=30/seed_157/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.65_depth=20_Nt=30/seed_157/parameters_best_feasible.npy
eta=0.70	eta=0.70_depth=20_Nt=30	seed_61	0.829084076589955	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.70_depth=20_Nt=30/seed_61/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.70_depth=20_Nt=30/seed_61/parameters_best_feasible.npy
eta=0.75	eta=0.75_depth=20_Nt=30	seed_2	1.0559675528066697	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.75_depth=20_Nt=30/seed_2/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.75_depth=20_Nt=30/seed_2/parameters_best_feasible.npy
eta=0.80	eta=0.80_depth=20_Nt=30	seed_130	1.2986828057454791	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.80_depth=20_Nt=30/seed_130/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.80_depth=20_Nt=30/seed_130/parameters_best_feasible.npy
eta=0.85	eta=0.85_depth=20_Nt=30	seed_49	1.5634362262469508	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.85_depth=20_Nt=30/seed_49/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.85_depth=20_Nt=30/seed_49/parameters_best_feasible.npy
eta=0.90	eta=0.90_depth=20_Nt=30	seed_189	1.8651781458095864	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.90_depth=20_Nt=30/seed_189/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.90_depth=20_Nt=30/seed_189/parameters_best_feasible.npy
eta=0.95	eta=0.95_depth=20_Nt=30	seed_122	2.2263369387245464	200	1	/home1/liaopeng/QuantumTransduction/87/runs/eta=0.95_depth=20_Nt=30/seed_122/best_feasible_ci.txt	/home1/liaopeng/QuantumTransduction/87/training_parameters/eta=0.95_depth=20_Nt=30/seed_122/parameters_best_feasible.npy
