eta0,delta,eta_eval_minus,eta_eval_plus,CI_minus,CI_plus,source_parameter_eta,source_parameter_file_or_seed,source_parameter_file,source_seed,nominal_stored_CI,ns_minus,np_minus,ns_plus,np_plus
0.30,0.11,0.19,0.41,0.37807084163951865,0.94724263160631805,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.12,0.18,0.42,0.31694031941753886,0.91699614842909005,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.13,0.17,0.43,0.25410564808450964,0.88823201904388727,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.14,0.16,0.44,0.18875237099187592,0.86183208744334694,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.15,0.15,0.45,0.11999050946909806,0.8385818910651186,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.16,0.14,0.46,0.046873967399989613,0.81917070082698418,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.17,0.13,0.47,-0.031592719124250657,0.80416886209974248,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.18,0.12,0.48,-0.11645989143984048,0.79377642401094128,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.19,0.11,0.49,-0.2088449943809696,0.78729643403901362,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.20,0.10,0.50,-0.30992551515139022,0.78357346702834496,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
